Additional data to J1939DA_OCT2020.xlsx,,,,,,,
PGN,PG Label,PG Acronym,Transmission Rate,SP Position in PG,SPN,SP Label,SLOT Identifier
40448,DTC Counts,DM29,,,4104,Emission-Related Pending DTC Count,
40448,DTC Counts,DM29,,,4105,All Pending DTC Count,
40448,DTC Counts,DM29,,,4106,Emission-Related MIL-On DTC Count,
40448,DTC Counts,DM29,,,4107,Emission-Related Previously MIL-On Diagnostic Trouble Codes Count,
40448,DTC Counts,DM29,,,4108,Emission-Related Permanent DTC Count,
40704,Immediate Fault Status,DM35,,,987,Protect Lamp,
40704,Immediate Fault Status,DM35,,,624,Amber Warning Lamp,
40704,Immediate Fault Status,DM35,,,623,Red Stop Lamp,
40704,Immediate Fault Status,DM35,,,1213,Malfunction Indicator Lamp,
40704,Immediate Fault Status,DM35,,,3041,Flash Protect Lamp,
40704,Immediate Fault Status,DM35,,,3040,Flash Amber Warning Lamp (AWL),
40704,Immediate Fault Status,DM35,,,3039,Flash Red Stop Lamp (RSL),
40704,Immediate Fault Status,DM35,,,3038,Flash Malfunction Indicator Lamp,
40704,Immediate Fault Status,DM35,,,1214,Suspect Parameter Number,
40704,Immediate Fault Status,DM35,,,1215,Failure Mode Identifier,
40704,Immediate Fault Status,DM35,,,1216,Occurrence Count,
40704,Immediate Fault Status,DM35,,,1706,SPN Conversion Method,
40960,NTE Status,DM34,,,4129,NOx NTE Deficiency Area Status,
40960,NTE Status,DM34,,,4128,Manufacturer-specific NOx NTE Limited Testing Region Status,
40960,NTE Status,DM34,,,4127,NOx NTE Control Area Status,
40960,NTE Status,DM34,,,4132,PM NTE Deficiency Area Status,
40960,NTE Status,DM34,,,4131,Manufacturer-specific PM NTE Limited Testing Region Status,
40960,NTE Status,DM34,,,4130,PM NTE Control Area Status,
41216,Emission Increasing Auxiliary Emission Control Device Active Time,DM33,,,4124,EI-AECD Number,
41216,Emission Increasing Auxiliary Emission Control Device Active Time,DM33,,,4125,EI-AECD Engine Hours Timer 1,
41216,Emission Increasing Auxiliary Emission Control Device Active Time,DM33,,,4126,EI-AECD Engine Hours Timer 2,
41472,Regulated Exhaust Emission Level Exceedance,DM32,,,1214,Suspect Parameter Number,
41472,Regulated Exhaust Emission Level Exceedance,DM32,,,1215,Failure Mode Identifier,
41472,Regulated Exhaust Emission Level Exceedance,DM32,,,4121,DTCx Total Active Time,
41472,Regulated Exhaust Emission Level Exceedance,DM32,,,4122,DTCx Total Previously Active Time,
41472,Regulated Exhaust Emission Level Exceedance,DM32,,,4123,DTCx Time Until Derate,
41728,DTC To Lamp Association,DM31,,,1214,Suspect Parameter Number,
41728,DTC To Lamp Association,DM31,,,1215,Failure Mode Identifier,
41728,DTC To Lamp Association,DM31,,,1216,Occurrence Count,
41728,DTC To Lamp Association,DM31,,,1706,SPN Conversion Method,
41728,DTC To Lamp Association,DM31,,,4116,DTCx Protect Lamp Support & Status,
