1,Confirm engine running status
2,DM6: Emission related pending DTCs
3,DM27: All pending DTCs
4,DM29: Regulated DTC counts
5,DM31: DTC to lamp association
6,DM1: Active DTCs
7,DM2: Previously active DTCs
8,DM5: Diagnostic readiness 1
9,DM12: Emissions related active DTCs
10,DM23: Emission related previously active DTCs
11,DM28: permanent DTCs
12,DM24: SPNs Supported
13,DM25: Expanded freeze frame
14,DM20: Monitor performance ratio
15,DM21: Diagnostic readiness 2
16,Part 3 to Part 4 Transition - Complete Fault A First Trip
