18,Engine Fuel Pressure
19,Engine Oil Pressure
20,Engine Coolant Pressure 1
21,Engine ECU Temperature
22,Engine Extended Crankcase Blow-by Pressure
23,Generator Oil Pressure
24,Generator Coolant Temperature
27,Engine Exhaust Gas Recirculation 1 Valve Position
28,Accelerator Pedal Position 3
29,Accelerator Pedal Position 2
30,Engine Crankcase Blowby Pressure
31,Transmission Range Position
32,Transmission Splitter Position
33,Clutch Cylinder Position
36,Clutch Plates
37,Transmission Air Tank Pressure
38,Fuel Level 2
39,Tire Pressure Check Interval
46,Pneumatic Supply Pressure
48,Barometric Pressure 
51,Engine Throttle Valve 1 Position 1
52,Engine Intercooler Temperature
53,Transmission Synchronizer Clutch Value
54,Transmission Synchronizer Brake Value
59,Transmission Shift Finger Gear Position
60,Transmission Shift Finger Rail Position
64,Transmission #2 Oil Temperature
69,Two Speed Axle Switch
70,Parking Brake Switch
72,Engine Blower Bypass Valve Position
73,Auxiliary Pump Pressure
74,Maximum Vehicle Speed Limit
75,Steering Axle Temperature
76,Axle Lift Air Pressure
77,Forward Rear Drive Axle Temperature
78,Rear Rear Drive Axle Temperature
79,Road Surface Temperature
80,Washer Fluid Level
81,Aftertreatment 1 Diesel Particulate Filter Intake Pressure
82,Engine Air Start Pressure
84,Wheel-Based Vehicle Speed
86,Cruise Control Set Speed
87,Cruise Control High Set Limit Speed
88,Cruise Control Low Set Limit Speed
90,Power Takeoff Oil Temperature
91,Accelerator Pedal Position 1
92,Engine Percent Load At Current Speed
93,Engine Net Brake Torque
94,Engine Fuel Delivery Pressure
95,Engine Fuel Filter Differential Pressure
96,Fuel Level 1
97,Water In Fuel Indicator 1
98,Engine Oil Level
99,Engine Oil Filter Differential Pressure
100,Engine Oil Pressure
101,Engine Crankcase Pressure 1
102,Engine Intake Manifold #1 Pressure
103,Engine Turbocharger 1 Speed
104,Engine Turbocharger Lube Oil Pressure 1
105,Engine Intake Manifold 1 Temperature
106,Engine Intake Air Pressure
107,Engine Air Filter 1 Differential Pressure
108,Barometric Pressure
109,Engine Coolant Pressure 1
110,Engine Coolant Temperature
111,Engine Coolant Level 1
112,Engine Coolant Filter Differential Pressure
113,Engine Governor Droop
114,SLI Battery 1 Net Current
115,Alternator Current
116,Brake Application Pressure
117,Brake Primary Pressure
118,Brake Secondary Pressure
119,Hydraulic Retarder Pressure
120,Hydraulic Retarder Oil Temperature
122,Engine Retarder Percent
123,Clutch Pressure
124,Transmission Oil Level 1
126,Transmission Filter Differential Pressure
127,Transmission Oil Pressure
129,Engine Fuel 1 Injector Metering Rail 2 Pressure
130,Engine Power Specific Fuel Economy
131,Engine Exhaust Pressure
132,Engine Intake Air Mass Flow Rate
133,Engine Average Fuel Rate
135,Engine Fuel Delivery Pressure (Absolute)
136,Auxiliary Vacuum Pressure Reading
137,Auxiliary Gage Pressure Reading 1
138,Auxiliary Absolute Pressure Reading
141,"Trailer, Tag Or Push Channel Tire Pressure Target"
142,Drive Channel Tire Pressure Target
143,Steer Channel Tire Pressure Target
144,"Trailer, Tag Or Push Channel Tire Pressure"
145,Drive Channel Tire Pressure
146,Steer Channel Tire Pressure
147,Engine Average Fuel Economy (Gaseous)
148,Engine Instantaneous Fuel Economy (Gaseous)
149,Engine Mass Flow Rate (Gaseous)
152,Number Of ECU Resets
153,Engine Crankcase Pressure
156,Engine Fuel 1 Injector Timing Rail 1 Pressure
157,Engine Fuel 1 Injector Metering Rail 1 Pressure
158,Key Switch Battery Potential
159,Engine Gaseous Fuel Supply Pressure 1
160,Transmission Intermediate Shaft Speed
161,Transmission Input Shaft Speed
162,Transmission Requested Range
163,Transmission Current Range
164,Engine Fuel Injection Control Pressure
165,Compass Bearing
166,Engine Rated Power
167,Charging System Potential (Voltage)
168,Battery Potential / Power Input 1
169,Cargo Ambient Temperature
170,Cab Interior Temperature
171,Ambient Air Temperature
172,Engine Intake 1 Air Temperature
173,Engine Exhaust Temperature
174,Engine Fuel 1 Temperature 1
175,Engine Oil Temperature 1
176,Engine Turbocharger Oil Temperature
177,Transmission Oil Temperature 1
178,Front Axle Weight
179,Rear Axle Weight
180,Trailer Weight
181,Cargo Weight
182,Engine Trip Fuel
183,Engine Fuel Rate
184,Engine Instantaneous Fuel Economy
185,Engine Average Fuel Economy
186,Power Takeoff Speed
187,Power Takeoff Set Speed
188,"Engine Speed At Idle, Point 1"
189,Engine Rated Speed
190,Engine Speed
191,Transmission Output Shaft Speed
228,Speed Sensor Calibration
229,Total Fuel Used (Gaseous)
230,Total Idle Fuel Used (Gaseous)
231,Trip Fuel (Gaseous)
232,DGPS Differential Correction
233,Unit Number (Power Unit)
234,Software Identification
235,Engine Total Idle Hours
236,Engine Total Idle Fuel Used
237,Vehicle Identification Number
238,Velocity Vector
241,Tire Pressure
242,Tire Temperature
244,Trip Distance
245,Total Vehicle Distance
246,Total Vehicle Hours
247,Engine Total Hours of Operation
248,Total Power Takeoff Hours
249,Engine Total Revolutions
250,Engine Total Fuel Used
251,Time
252,Date
257,Cold Restart Of Specific Component
258,Warm Restart Of Specific Component
259,Acknowledgement Of Warm Or Cold Restart
354,Relative Humidity
355,Engine Oil Life
378,Fare Collection Unit Status
380,Articulation Angle
383,Vehicle Acceleration
407,Axle Group Full Weight Calibration
408,Axle Group Empty Weight Calibration
409,Axle Group Weight
411,Engine Exhaust Gas Recirculation 1 Differential Pressure
412,Engine Exhaust Gas Recirculation 1 Temperature
413,Net Vehicle Weight Change
417,Gross Combination Weight
430,Engine Starter Solenoid Voltage
441,Auxiliary Temperature 1
442,Auxiliary Temperature 2
443,Auxiliary Gage Pressure Reading 2
444,Battery Potential / Power Input 2
445,Engine Bank 2 Cylinder Head Temperature
446,Engine Bank 1 Cylinder Head Temperature
447,Passenger Counter
501,Signage Message
502,Fare Collection Unit - Point Of Sale
503,Fare Collection Unit - Service Detail
504,Annunciator Voice Message
505,Vehicle Control Head Keyboard Message
506,Vehicle Control Head Display Message
507,Driver Identification
508,Transit Route Identification
509,Milepost Identification
512,Driver's Demand Engine - Percent Torque
513,Actual Engine - Percent Torque
514,Nominal Friction - Percent Torque
515,Engine's Desired Operating Speed
516,Ground-Based Vehicle Speed
517,Navigation-Based Vehicle Speed
518,Engine Requested Torque/Torque Limit
519,Engine's Desired Operating Speed Asymmetry Adjustment
520,Actual Retarder - Percent Torque
521,Brake Pedal Position
522,Percent Clutch Slip
523,Transmission Current Gear
524,Transmission Selected Gear
525,Transmission Requested Gear
526,Transmission Actual Gear Ratio
527,Cruise Control States
528,Engine Speed At Point 2
529,Engine Speed At Point 3
530,Engine Speed At Point 4
531,Engine Speed At Point 5
532,"Engine Speed At High Idle, Point 6"
533,"Engine Maximum Momentary Override Speed, Point 7"
534,Engine Maximum Momentary Override Time Limit
535,Engine Requested Speed Control Range Lower Limit
536,Engine Requested Speed Control Range Upper Limit
537,Engine Requested Torque Control Range Lower Limit
538,Engine Requested Torque Control Range Upper Limit
539,"Engine Percent Torque At Idle, Point 1"
540,Engine Percent Torque At Point 2
541,Engine Percent Torque At Point 3
542,Engine Percent Torque At Point 4
543,Engine Percent Torque At Point 5
544,Engine Reference Torque
545,Engine Gain (Kp) Of The Endspeed Governor
546,"Retarder Speed At Idle, Point 1"
547,"Retarder Speed At Peak Torque, Point 5"
548,"Maximum Retarder Speed, Point 2"
549,Retarder Speed At Point 3
550,Retarder Speed At Point 4
551,"Retarder Percent Torque At Idle, Point 1"
552,"Retarder Percent Torque At Maximum Speed, Point 2"
553,Retarder Percent Torque At Point 3
554,Retarder Percent Torque At Point 4
555,"Retarder Percent Torque At Peak Torque, Point 5"
556,Retarder Reference Torque
557,Retarder Control Method
558,Accelerator Pedal 1 Low Idle Switch
559,Accelerator Pedal Kickdown Switch
560,Transmission Driveline Engaged
561,ASR Engine Control Active
562,ASR Brake Control Active
563,Anti-Lock Braking (ABS) Active
564,Differential Lock State - Central
565,Differential Lock State - Central Front
566,Differential Lock State - Central Rear
567,Differential Lock State - Front Axle 1
568,Differential Lock State - Front Axle 2
569,Differential Lock State - Rear Axle 1
570,Differential Lock State - Rear Axle 2
571,Retarder Enable - Brake Assist Switch
572,Retarder Enable - Shift Assist Switch
573,Transmission Torque Converter Lockup Engaged
574,Transmission Shift In Process
575,ABS Off-road Switch
576,ASR Off-road Switch
577,"ASR ""Hill Holder"" Switch"
578,Drive Axle Temperature
579,Drive Axle Lift Air Pressure
580,Altitude
581,Transmission Gear Ratio
582,Axle Weight
583,Pitch
584,Latitude
585,Longitude
586,Make
587,Model
588,Serial Number
589,Alternator Speed
590,Engine Idle Shutdown Timer State
591,Engine Idle Shutdown Timer Function
592,Engine Idle Shutdown Timer Override
593,Engine Idle Shutdown has Shutdown Engine
594,Engine Idle Shutdown Driver Alert Mode
595,Cruise Control Active
596,Cruise Control Enable Switch
597,Brake Switch
598,Clutch Switch
599,Cruise Control Set Switch
600,Cruise Control Coast (Decelerate) Switch
601,Cruise Control Resume Switch
602,Cruise Control Accelerate Switch
603,Brake Pedal Switch #2
604,Transmission Neutral Switch
