Extracted from J1939DA_JAN23,,,,,,,
PGN,PG Label,PG Acronym,Transmission Rate,SP Position in PG,SPN,SP Label,SLOT Identifier
0,Torque/Speed Control 1,TSC1,"To engine: Control Purpose dependent or 10 ms
To retarder: 50 ms",1.1,695,Engine Override Control Mode,87
0,Torque/Speed Control 1,TSC1,"To engine: Control Purpose dependent or 10 ms
To retarder: 50 ms",1.3,696,Engine Requested Speed Control Conditions,87
0,Torque/Speed Control 1,TSC1,"To engine: Control Purpose dependent or 10 ms
To retarder: 50 ms",1.5,897,Override Control Mode Priority,87
0,Torque/Speed Control 1,TSC1,"To engine: Control Purpose dependent or 10 ms
To retarder: 50 ms",2-3,898,Engine Requested Speed/Speed Limit,76
0,Torque/Speed Control 1,TSC1,"To engine: Control Purpose dependent or 10 ms
To retarder: 50 ms",4,518,Engine Requested Torque/Torque Limit,45
0,Torque/Speed Control 1,TSC1,"To engine: Control Purpose dependent or 10 ms
To retarder: 50 ms",5.1,3349,TSC1 Transmission Rate,88
0,Torque/Speed Control 1,TSC1,"To engine: Control Purpose dependent or 10 ms
To retarder: 50 ms",5.4,3350,TSC1 Control Purpose,90
0,Torque/Speed Control 1,TSC1,"To engine: Control Purpose dependent or 10 ms
To retarder: 50 ms",6.1,4191,Engine Requested Torque (Fractional),268
0,Torque/Speed Control 1,TSC1,"To engine: Control Purpose dependent or 10 ms
To retarder: 50 ms",8.1,4206,Message Counter,220
0,Torque/Speed Control 1,TSC1,"To engine: Control Purpose dependent or 10 ms
To retarder: 50 ms",8.5,4207,Message Checksum,220
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",1.1,681,Transmission Gear Shift Inhibit Request,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",1.3,682,Transmission Torque Converter Lockup Request,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",1.5,683,Disengage Driveline Request,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",1.7,4242,Transmission Reverse Gear Shift Inhibit Request,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",2,684,Requested Percent Clutch Slip,44
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",3,525,Transmission Requested Gear,24
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",4.1,685,Disengage Differential Lock Request - Front Axle 1,87
256,Transmission Control 1,TC1,"System dependent; either 50 ms as needed for active control, or as a continuous 50 ms periodic broadcast.",4.3,686,Disengage Differential Lock Request - Front Axle 2,87
